"nutrient","country","iso3","npeople","ndeficient","pdeficient"
"Calcium","Afghanistan","AFG",37171922,28835816.8356791,0.775741884847361
"Calcium","Albania","ALB",2866376,616781.832577316,0.215178271300526
"Calcium","Algeria","DZA",42228415,19722908.6345657,0.467053017134687
"Calcium","American Samoa","ASM",0,0,NA
"Calcium","Andorra","AND",0,0,NA
"Calcium","Angola","AGO",30809787,24307266.063481,0.788946254756031
"Calcium","Antigua & Barbuda","ATG",96282,30553.833006734,0.317336916627552
"Calcium","Argentina","ARG",44494503,23618664.1807155,0.530822069879406
"Calcium","Armenia","ARM",2951741,786261.037411992,0.266371960619848
"Calcium","Aruba","ABW",105846,50702.957831002,0.479025733905882
"Calcium","Australia","AUS",24982690,11445822.2531422,0.458150113264114
"Calcium","Austria","AUT",8840522,3261924.77776188,0.368974227739253
"Calcium","Azerbaijan","AZE",9939771,4291233.98019926,0.431723626248458
"Calcium","Bahamas","BHS",385635,281013.29268914,0.728702769948629
"Calcium","Bahrain","BHR",1569440,801725.983044289,0.510835701297462
"Calcium","Bangladesh","BGD",161376713,147398360.160418,0.913380607525559
"Calcium","Barbados","BRB",286640,174424.018038899,0.608512482692223
"Calcium","Belarus","BLR",9438786,3147669.12741417,0.333482412612615
"Calcium","Belgium","BEL",11427053,3530159.58110895,0.308930008560295
"Calcium","Belize","BLZ",383071,207844.995474479,0.542575646484539
"Calcium","Benin","BEN",11485035,8462985.80222833,0.736870701937637
"Calcium","Bermuda","BMU",0,0,NA
"Calcium","Bhutan","BTN",754396,574800.089430878,0.761934169098031
"Calcium","Bolivia","BOL",11353140,8750446.11295537,0.770751185394998
"Calcium","Bosnia & Herzegovina","BIH",3323929,1347324.56561954,0.405340958131036
"Calcium","Botswana","BWA",2254067,1448471.72512531,0.642603669334277
"Calcium","Brazil","BRA",209469320,137155424.824532,0.654775720017288
"Calcium","British Virgin Islands","VGB",0,0,NA
"Calcium","Brunei","BRN",428960,342383.900408119,0.798172091589236
"Calcium","Bulgaria","BGR",7025037,5595232.70432723,0.796470211377853
"Calcium","Burkina Faso","BFA",19751466,17605549.3867021,0.891354058817816
"Calcium","Burundi","BDI",11175379,8380251.58788851,0.749885224285325
"Calcium","Cambodia","KHM",16249795,11695980.0777975,0.719761700242834
"Calcium","Cameroon","CMR",25216261,17578521.8235704,0.697110559871282
"Calcium","Canada","CAN",37065084,13295132.9030483,0.358696958653818
"Calcium","Cape Verde","CPV",543764,298361.262842001,0.548696241093564
"Calcium","Cayman Islands","CYM",0,0,NA
"Calcium","Central African Republic","CAF",4666375,3331407.79764302,0.713917719352392
"Calcium","Chad","TCD",15477727,10584710.1238171,0.683867219251064
"Calcium","Channel Islands","CHI",170496,69996.2442619332,0.410544788510776
"Calcium","Chile","CHL",18729166,9617667.95353273,0.513512878978847
"Calcium","China","CHN",1402760001,1088490369.95896,0.775963364497844
"Calcium","Colombia","COL",49661056,37059661.1150308,0.746251974888145
"Calcium","Comoros","COM",832322,619168.069277259,0.743904485616455
"Calcium","Congo - Brazzaville","COG",5244363,3767260.41251589,0.718344708883784
"Calcium","Congo - Kinshasa","COD",84068092,70823128.0852884,0.842449571536468
"Calcium","Costa Rica","CRI",4999443,1939355.78686198,0.387914371033328
"Calcium","Croatia","HRV",4087846,1705694.22218773,0.417259902204665
"Calcium","Cuba","CUB",11338146,3129271.58377952,0.275994998104586
"Calcium","Curaçao","CUW",159336,75422.6645967153,0.473356081467561
"Calcium","Cyprus","CYP",1189262,483126.047167258,0.40624021213766
"Calcium","Czechia","CZE",10629927,6283253.93243216,0.591090976676713
"Calcium","Côte d’Ivoire","CIV",25069226,19398281.833136,0.77378862168046
"Calcium","Denmark","DNK",5793635,886730.116121272,0.153052464665322
"Calcium","Djibouti","DJI",958923,866197.46617206,0.903302419664624
"Calcium","Dominica","DMA",0,0,NA
"Calcium","Dominican Republic","DOM",10627147,4865692.9506892,0.457855052789728
"Calcium","Ecuador","ECU",17084359,5371410.39583603,0.314405146592625
"Calcium","Egypt","EGY",98423602,49717214.0423237,0.505135079717197
"Calcium","El Salvador","SLV",6420740,3321552.45533548,0.517316143518578
"Calcium","Equatorial Guinea","GNQ",1308966,846343.279175178,0.646573921076008
"Calcium","Eritrea","ERI",0,0,NA
"Calcium","Estonia","EST",1321977,499478.029955917,0.377826565784364
"Calcium","Eswatini","SWZ",1136274,1035751.62411167,0.911533330967416
"Calcium","Ethiopia","ETH",109224410,72960004.7717503,0.667982594474535
"Calcium","Faroe Islands","FRO",0,0,NA
"Calcium","Fiji","FJI",883490,611453.719204389,0.692089009727772
"Calcium","Finland","FIN",5515524,669542.603084863,0.121392383223219
"Calcium","France","FRA",67101930,15986393.4417632,0.238240441694646
"Calcium","French Polynesia","PYF",277673,210909.800009559,0.759561786740372
"Calcium","Gabon","GAB",2119275,649236.723677058,0.30634850299138
"Calcium","Gambia","GMB",2280092,2235661.18015661,0.980513584608255
"Calcium","Georgia","GEO",3726547,2332331.59666808,0.625869362889582
"Calcium","Germany","DEU",82905784,10762695.1402799,0.129818386860438
"Calcium","Ghana","GHA",29767108,27908726.2721731,0.937569288631367
"Calcium","Gibraltar","GIB",0,0,NA
"Calcium","Greece","GRC",10732879,2293537.30762722,0.213692645526631
"Calcium","Greenland","GRL",0,0,NA
"Calcium","Grenada","GRD",111449,45821.1109991394,0.411139723094324
"Calcium","Guam","GUM",165770,108961.926576627,0.657307875831735
"Calcium","Guatemala","GTM",16346951,6150156.62719358,0.376226528555299
"Calcium","Guinea","GIN",12414292,9630135.19470282,0.775729714969071
"Calcium","Guinea-Bissau","GNB",1874304,1590485.87024544,0.848574121511471
"Calcium","Guyana","GUY",779007,360467.686041675,0.462727146279397
"Calcium","Haiti","HTI",11123183,5734434.09133431,0.515538950616411
"Calcium","Honduras","HND",9587523,4669144.059603,0.48700212344763
"Calcium","Hong Kong SAR China","HKG",7450999,5789873.22470227,0.777059992183903
