Country,Region
ABW,HIC
ABW,LCN
ABW,WLD
AFG,LIC
AFG,SAS
AFG,WLD
AGO,LMC
AGO,SSF
AGO,WLD
ALB,ECS
ALB,UMC
ALB,WLD
AND,ECS
AND,HIC
AND,WLD
ARE,HIC
ARE,MEA
ARE,WLD
ARG,LCN
ARG,UMC
ARG,WLD
ARM,ECS
ARM,UMC
ARM,WLD
ASM,EAS
ASM,UMC
ASM,WLD
ATG,HIC
ATG,LCN
ATG,WLD
AUS,EAS
AUS,HIC
AUS,WLD
AUT,ECS
AUT,HIC
AUT,WLD
AZE,ECS
AZE,UMC
AZE,WLD
BDI,LIC
BDI,SSF
BDI,WLD
BEL,ECS
BEL,HIC
BEL,WLD
BEN,LMC
BEN,SSF
BEN,WLD
BFA,LIC
BFA,SSF
BFA,WLD
BGD,LMC
BGD,SAS
BGD,WLD
BGR,ECS
BGR,UMC
BGR,WLD
BHR,HIC
BHR,MEA
BHR,WLD
BHS,HIC
BHS,LCN
BHS,WLD
BIH,ECS
BIH,UMC
BIH,WLD
BLR,ECS
BLR,UMC
BLR,WLD
BLZ,LCN
BLZ,UMC
BLZ,WLD
BMU,HIC
BMU,NAC
BMU,WLD
BOL,LCN
BOL,LMC
BOL,WLD
BRA,LCN
BRA,UMC
BRA,WLD
BRB,HIC
BRB,LCN
BRB,WLD
BRN,EAS
BRN,HIC
BRN,WLD
BTN,LMC
BTN,SAS
BTN,WLD
BWA,SSF
BWA,UMC
BWA,WLD
CAF,LIC
CAF,SSF
CAF,WLD
CAN,HIC
CAN,NAC
CAN,WLD
CHE,ECS
CHE,HIC
CHE,WLD
CHI,ECS
CHI,HIC
CHI,WLD
CHL,HIC
CHL,LCN
CHL,WLD
CHN,EAS
CHN,UMC
CHN,WLD
CIV,LMC
CIV,SSF
CIV,WLD
CMR,LMC
CMR,SSF
CMR,WLD
COD,LIC
COD,SSF
COD,WLD
COG,LMC
COG,SSF
COG,WLD
COK,EAS
COK,UMC
COK,WLD
COL,LCN
COL,UMC
COL,WLD
COM,LMC
COM,SSF
COM,WLD
CPV,LMC
CPV,SSF
CPV,WLD
CRI,LCN
CRI,UMC
CRI,WLD
CUB,LCN
CUB,UMC
CUB,WLD
CUW,HIC
CUW,LCN
CUW,WLD
CYM,HIC
CYM,LCN
CYM,WLD
CYP,ECS
CYP,HIC
CYP,WLD
CZE,ECS
CZE,HIC
CZE,WLD
DEU,ECS
DEU,HIC
DEU,WLD
DJI,LMC
DJI,MEA
DJI,WLD
DMA,LCN
DMA,UMC
DMA,WLD
DNK,ECS
DNK,HIC
DNK,WLD
DOM,LCN
DOM,UMC
DOM,WLD
DZA,LMC
DZA,MEA
DZA,WLD
ECU,LCN
ECU,UMC
ECU,WLD
EGY,LMC
EGY,MEA
EGY,WLD
ERI,LIC
ERI,SSF
ERI,WLD
ESP,ECS
ESP,HIC
ESP,WLD
EST,ECS
EST,HIC
EST,WLD
ETH,LIC
ETH,SSF
ETH,WLD
FIN,ECS
FIN,HIC
FIN,WLD
FJI,EAS
FJI,UMC
FJI,WLD
FRA,ECS
FRA,HIC
FRA,WLD
FRO,ECS
FRO,HIC
FRO,WLD
FSM,EAS
FSM,LMC
FSM,WLD
GAB,SSF
GAB,UMC
GAB,WLD
GBR,ECS
GBR,HIC
GBR,WLD
GEO,ECS
GEO,UMC
GEO,WLD
GHA,LMC
GHA,SSF
GHA,WLD
GIB,ECS
GIB,HIC
GIB,WLD
GIN,LIC
GIN,SSF
GIN,WLD
GMB,LIC
GMB,SSF
GMB,WLD
GNB,LIC
GNB,SSF
GNB,WLD
GNQ,SSF
GNQ,UMC
GNQ,WLD
GRC,ECS
GRC,HIC
GRC,WLD
GRD,LCN
GRD,UMC
GRD,WLD
GRL,ECS
GRL,HIC
